	(1)	(2)	(3)	(4)
VARIABLES	approve	disapprove	approve	approve
				
adults	-0.777***	0.001	0.000	-0.972***
	(-3.409)	(0.010)	(.)	(-8.307)
Constant			38.668***	
			(293.564)	
				
Observations	5,331	5,331	748	4,583
R-squared	0.783	0.768	0.000	0.783
Company Fixed Effects	Yes	Yes	-	Yes
Date Fixed Effects	Yes	Yes	-	Yes
Ses Clustered By	Date-Company	Date-Company	Date	Date-Company
Pollster			Only Gallup	All But Gallup
